source,target,label
ambassaador,ambassador,PT
certified nurse's assistance,certified nursing assistant,PT
matenance supperviser,maintenance supervisor,PT
production support,production support specialist,PT
concert tour manager,tour manager,PT
television anchor,news anchor,PT
light designer,lighting designer,PT
national president sales vice,vice president national sales,PT
biosatistician,biostatistician,PT
assurance engineer lead quality,lead quality assurance engineer,PT
assistant communication director,assistant director of communications,PT
advisor estate real,real estate advisor,PT
attorney deputy general,deputy attorney general,PT
seo executive,search engine optimization executive,PT
director management relationship,director relationship management,PT
fulfillment,fulfillment specialist,PT
icu bsn,intensive care nurse,PT
assistant manager studio,assistant studio manager,PT
accounting group manager,group accounting manager,PT
new product introduction program manager,new product introduction program manager,PT
assistant manager part,assistant part manager,PT
consulting information specialist technology,consulting information technology specialist,PT
managed president services vice,vice president managed services,PT
analyst lead quality,lead quality analyst,PT
discipline engineer multi,multi discipline engineer,PT
logistics manager service,service logistics manager,PT
"manager, software testing",software testing manager,PT
director distance learning,director of distance learning,PT
head art department,head of art department,PT
director external reporting,director of external reporting,PT
"director, administrative operations",director of administrative operations,PT
agent commercial insurance,commercial insurance agent,PT
joint ceo,joint chief executive officer,PT
engineering manager operations senior,senior manager engineering operations,PT
application developer support,application support developer,PT
graduate intern research,graduate research intern,PT
per diem cns,prn clinical nurse specialist,PT
devops,devops specialist,PT
sesecretary,secretary,PT
emplyeei,employee,PT
communation,communications specialist,PT
me myself & i,self employed,PT
purshaser,purchaser,PT
senior qa engineer,senior quality assurance engineer,PT
designer graphic web,graphic web designer,PT
adminssions,admissions specialist,PT
assembly,assembly specialist,PT
"manager, compensation",compensation manager,PT
"manager, bank",bank manager,PT
development manager program,program development manager,PT
"manager, prepress",prepress manager,PT
"manager, clinic",clinic manager,PT
engineering industrial manager,industrial engineering manager,PT
"manager, desktop",desktop manager,PT
research development chemist,research and development chemist,PT
banquet stewardess,banquet server,PT
business consultant manager,business consulting manager,PT
consultant executive sales,executive sales consultant,PT
"manager, people development",people development manager,PT
director land,land director,PT
development director management product,director product management development,PT
lecurer in ergonomics,lecturer in economics,PT
ofce work,office work,PT
information manager resources technology,information technology resources manager,PT
faculty guest,guest professor,PT
account digital executive,digital account executive,PT
board member past,past board member,PT
"manager, medical science",medical science manager,PT
collections credit representative,credit collections representative,PT
chairman board of trustees,chair of the board of trustees,PT
academic manager program,academic program manager,PT
associate counsel legal,associate legal counsel,PT
assistant military professor science,assistant professor of military science,PT
support nurse,registered nurse,PT
memeberr,member,PT
ccmmunication,communications specialist,PT
salespersion,salesperson,PT
ecutive secetary,executive secretary,PT
sports,sports specialist,PT
"manager, community",community manager,PT
marketero,marketer,PT
web development,web development specialist,PT
quantity surveying,quantity surveyor,PT
konducteur,conductor,PT
field manager marketing,field marketing manager,PT
manager ecommerce,ecommerce manager,PT
hairdreesr,hairdresser,PT
biostatisticinan,biostatistician,PT
education department,education department specialist,PT
chief deputy executive,deputy chief executive officer,PT
imageing spealist,imaging specialist,PT
hyidrologist,hydrologist,PT
analyst co-op,analyst internship,PT
assignment general reporter,general assignment reporter,PT
qa test manager,quality assurance test manager,PT
stonemason,mason,PT
lead quality team,quality team lead,PT
director fund development,director of fund development,PT
"manager, product application",product application manager,PT
director preschool,preschool director,PT
head media new,head of new media,PT
consultant corporate finance,corporate finance consultant,PT
consumer manager research,consumer research manager,PT
"manager, classified",classified manager,PT
hr project coordinator,human resources project coordinator,PT
bankikng,bank employee,PT
consultant international marketing,international marketing consultant,PT
dvd authorer,dvd author,PT
executive talent acquisition,talent acquisition executive,PT
application financial manager,financial application manager,PT
"manager, marketing communications program",marketing communications program manager,PT
"manager, sap implementation",sap implementation manager,PT
computer examiner forensic,computer forensic examiner,PT
assistant chief executive officer special to,special assistant to chief executive officer,PT
monitoring evaluation specialist,monitoring and evaluation specialist,PT
analyst category development,category development analyst,PT
application development director information technology,director information technology application development,PT
human manager regional resources senior,senior regional human resources manager,PT
drilling senior supervisor,senior drilling supervisor,PT
ranch assistant,ranch hand,PT
acoount executitive,account executive,PT
superavisor,supervisor,PT
superrvisore,supervisor,PT
seceritery,secretary,PT
freelange,freelance,PT
manegemnt,management,PT
proefsional,professional,PT
halpdask,help desk specialist,PT
helodesk,help desk specialist,PT
ambasadoor,ambassador,PT
sevice advicer,service advisor,PT
conducotr,conductor,PT
conductron,conductor,PT
catrering,catering specialist,PT
inspection,inspection specialist,PT
childcear,child care specialist,PT
insurence advicer,insurance advisor,PT
commincator,communicator,PT
application specific integrated circuit designer,application-specific integrated circuit designer,PT
counsel deputy general,deputy general counsel,PT
hairtresser,hairdresser,PT
manager customer experience,customer experience manager,PT
lean analylist,loan analyst,PT
"manager, resort",resort manager,PT
assistant assurance manager quality,assistant quality assurance manager,PT
international president senior vice,senior vice president international,PT
constrktor,constructor,PT
assistant executive secretary,executive assistant secretary,PT
executive manager office,executive office manager,PT
pedi nurse practitioner,pediatric nurse practitioner,PT
director digital marketing,digital marketing director,PT
customer manager regional,regional customer manager,PT
"manager, title",title manager,PT
assistant export sales,export sales assistant,PT
sea farer,sailor,PT
"director, creative development",director of creative development,PT
account manager special,special account manager,PT
director evaluation research,director of research and evaluation,PT
exodontist,endodontist,PT
broadcast engineer senior,senior broadcast engineer,PT
education elementary teacher,elementary education teacher,PT
medical professional representative,professional medical representative,PT
end manager services user,manager end user services,PT
"director, basketball operations",director of basketball operations,PT
design director interactive,interactive design director,PT
door to door salesman,door to door sales representative,PT
visual merchandising team leader,visual merchandising team lead,PT
execitive accounts,account executive,PT
fiunder,founder,PT
secreetsary,secretary,PT
secretaryy,secretary,PT
communicatin,communications specialist,PT
salemgr,salesperson,PT
schedluer,scheduler,PT
consultant senior technical,senior technical consultant,PT
arketer,marketer,PT
matketer,marketer,PT
physacian,medical doctor,PT
head communication,head of communications,PT
fp&a finance manager,financial planning and analysis manager,PT
condcutor,conductor,PT
aesthethician,esthetician,PT
cartering,catering specialist,PT
telsales,telesales specialist,PT
hosekeping,housekeeping specialist,PT
houskepping,housekeeping specialist,PT
head corporate relations,head of corporate communications,PT
development director resources,director resources development,PT
desgin team,design team specialist,PT
network support technical,network technical support,PT
group manager support,support group manager,PT
engineer flight test,flight test engineer,PT
"director, legislative affairs",director of legislative affairs,PT
assistant director annual giving,assistant director of annual giving,PT
assistant director human resources to,assistant to human resources director,PT
"director, internet development",director of internet development,PT
assistant english teaching,english teaching assistant,PT
gold smth,goldsmith,PT
analyst data research,data research analyst,PT
category manager product,product category manager,PT
"manager, production planning control",production planning control manager,PT
design intern product,product design intern,PT
development engineering manager product,product development engineering manager,PT
information technology service engineer,information technology service engineer,PT
merchandising president sales vice,vice president sales merchandising,PT
editorial manager services,manager editorial services,PT
manager personal training,personal training manager,PT
creative director marketing services,director marketing creative services,PT
web ui developer,web user interface developer,PT
development supervisor system,supervisor system development,PT
manager individual giving,individual giving manager,PT
"manager, public relations promotions",public relations promotions manager,PT
camp counselor day,day camp counselor,PT
data transcriptor,data transcriber,PT
graduate trainee young,young graduate trainee,PT
cardiovascular intensive care rn,cardiovascular intensive care nurse,PT
suparwisr,supervisor,PT
suprtevisor,supervisor,PT
surpervaisor,supervisor,PT
human resources,human resources specialist,PT
magement,management,PT
communicating,communications specialist,PT
trainig,training specialist,PT
chief operations,head of operations,PT
advertising staff,advertising specialist,PT
heade of unit,head of unit,PT
senior ict consultant,senior information technology consultant,PT
esl teacher,english second language teacher,PT
night audit,night auditor,PT
cartaring,catering specialist,PT
"manager, application services",application services manager,PT
development manager regional,regional development manager,PT
prevention,prevention specialist,PT
director engineering sales,director sales engineering,PT
director youth ministry,director of youth ministry,PT
development manager national,national development manager,PT
manager recruiting senior,senior recruiting manager,PT
wlogger,logger,PT
"head, programming",head of programming,PT
associate manager project senior,senior associate project manager,PT
pilot (aeronautics),aviator,PT
syllist,cellist,PT
financial manager senior services,senior manager financial services,PT
physical senior therapist,senior physical therapist,PT
outside-plant engineer,outside plant engineer,PT
demand planner supply,demand supply planner,PT
administrator enterprise system,enterprise system administrator,PT
analyst business operations senior,senior business operations analyst,PT
coordinator marketing operations,marketing operations coordinator,PT
broker commercial insurance,commercial insurance broker,PT
executive marketing services,marketing services executive,PT
"manager, product line marketing",product line marketing manager,PT
information medical officer,medical information officer,PT
"manager, mortgage sales",mortgage sales manager,PT
design director principal,principal design director,PT
product specialist oncology,oncology product specialist,PT
director loss prevention regional,regional loss prevention director,PT
member scientific senior staff,senior member of scientific staff,PT
deep learning research engineer,machine learning researcher,PT
hospice palliative registered nurse,hospice and palliative nurse,PT
scaffolding labourer,scaffolder,PT
cab driver,taxi driver,PT
mananging dircetor,managing director,PT
account excetiv,account executive,PT
account exectuvie,account executive,PT
spervisior,supervisor,PT
surevisor,supervisor,PT
secdretary,secretary,PT
secrertary,secretary,PT
manmgement,management,PT
commiounication,communications specialist,PT
counications,communications specialist,PT
profeesinal,professional,PT
qa analyst,quality assurance analyst,PT
sakesmsn,salesperson,PT
sellersman,salesperson,PT
slp,speech language pathologist,PT
mariketer,marketer,PT
admiissions,admissions specialist,PT
shop asstaint,shop assistant,PT
vp supply chain,vice president supply chain,PT
sap human resources,sap human resources specialist,PT
international president sales vice,vice president of global sales,PT
"manager, outreach",outreach manager,PT
"manager, broadcast",broadcast manager,PT
hooseskeeping,housekeeping specialist,PT
system application engineer,application system engineer,PT
career ambassador,career specialist,PT
natural historian,naturalist,PT
director ministry youth,director of youth ministry,PT
ccma,certified medical assistant,PT
legal manager senior,senior legal manager,PT
business consultant planning,business planning consultant,PT
freelance information technology consultant,freelance information technology consultant,PT
assistant director administration,assistant director of administration,PT
application business specialist,business application specialist,PT
director services solutions,director solutions services,PT
rf test engineer,radio frequency test engineer,PT
sociology professor,professor of sociology,PT
"vice president, mortgage lending",vice president of mortgage lending,PT
"head, internal control",head of internal control,PT
helpdesk intern,help desk intern,PT
"manager, property project",property project manager,PT
information lead operations technology,information technology operations lead,PT
computerl hardwer enginr,computer hardware engineer,PT
mixocologist,mixologist,PT
architect global solutions,global solutions architect,PT
disc jockey resident,resident disc jockey,PT
labor/delivery bsn,labor and delivery nurse,PT
intern law student,law student intern,PT
hospice & palliative registered nurse,hospice and palliative nurse,PT
urologic rn,urology nurse,PT
triage nurse,triage nurse,PT
pipe layer,pipelayer,PT
data science vp,data science vice president,PT
maniging drictor,managing director,PT
supervizr,supervisor,PT
supervssor,supervisor,PT
weblogic admin,system administrator,PT
advisoer,advisor,PT
customer svc,customer service specialist,PT
empyolee,employee,PT
communucations,communications specialist,PT
supintendent,superintendent,PT
work for self,self employed,PT
techking,teaching specialist,PT
aeathetician,esthetician,PT
j2ee develper,j2ee developer,PT
director information services technology,director information technology services,PT
subcontrackter,subcontractor,PT
child kare,child care specialist,PT
human resources sap,sap human resources specialist,PT
keyholoder,keyholder,PT
director financial reporting,director of financial reporting,PT
huose keeping,housekeeping specialist,PT
it management consultant,information technology management consultant,PT
lead production team,production team lead,PT
account manager new business,new business account manager,PT
head asset management,head of asset management,PT
fixed income president vice,vice president fixed income,PT
asbstractor,abstractor,PT
"manager, customer logistics",customer logistics manager,PT
director line management product,product line director,PT
foreclosure,foreclosure specialist,PT
consultant data management,data management consultant,PT
improvement lead process,process improvement lead,PT
business information,business information specialist,PT
documentation senior specialist,senior documentation specialist,PT
"manager, user support",user support manager,PT
cycle director revenue,director revenue cycle,PT
"manager, hedge fund",hedge fund manager,PT
"manager, business travel",business travel manager,PT
communications marketing president senior vice,senior vice president marketing communications,PT
curriculum director instruction,director of curriculum and instruction,PT
head operations retail,head of retail operations,PT
surgery secduler,surgery scheduler,PT
coordinator field marketing,field marketing coordinator,PT
bakoffice,back office employee,PT
coordinator ministry youth,coordinator of youth ministry,PT
design intern marketing,marketing design intern,PT
director senior services technical,senior director technical services,PT
administrator area computer local network personal,personal computer local area network administrator,PT
administrative assistant reception,reception administrative assistant,PT
radiologic registered nurse,radiology nurse,PT
endoscopy bsn,endoscopy nurse,PT
womens health np,women's health nurse practitioner,PT
irrigation tech,irrigation technician,PT
schoolmaster,teacher,PT
subervisoer,supervisor,PT
cecretery,secretary,PT
sacratari,secretary,PT
secretrty,secretary,PT
not employeed,unemployed,PT
commeniction,communications specialist,PT
tradinding,training specialist,PT
hr generalist,human resources generalist,PT
product,product specialist,PT
salesmam,salesperson,PT
cmo,chief marketing officer,PT
perchazer,purchaser,PT
"vice president, development",vice president of development,PT
eaching,teaching specialist,PT
"manager, sales support",sales support manager,PT
information manager support technical technology,information technology support manager,PT
development department,development department specialist,PT
assistant controller financial,assistant financial controller,PT
development manager support,development support manager,PT
brand global manager,global brand manager,PT
development director web,director of web development,PT
guitar,guitar specialist,PT
"director, legal affairs",director of legal affairs,PT
assistant manager engineering,assistant engineering manager,PT
java javaee,java javaee specialist,PT
expert process,process expert,PT
director marketing worldwide,director worldwide marketing,PT
analysis manager reporting,manager reporting analysis,PT
assistant manager market,assistant market manager,PT
taveler,traveler,PT
pedi np,pediatric nurse practitioner,PT
"manager, health program",health program manager,PT
administrative head human resources,head human resources administrative,PT
f&b team leader,food and beverage supervisor,PT
director hardware engineering,director of hardware engineering,PT
change release manager,change and release manager,PT
assistant finance general manager,assistant general manager finance,PT
trvael agency,travel agency specialist,PT
lead sales technical,sales technical lead,PT
compliance manager project,compliance project manager,PT
head management talent,head of talent management,PT
board member school,school board member,PT
vba programmer,visual basic developer,PT
operations sales supervisor,sales operations supervisor,PT
director audience development,director of audience development,PT
business consultant intelligence oracle,oracle business intelligence consultant,PT
consultant senior support technical,senior technical support consultant,PT
localization manager program,localization program manager,PT
client director marketing relations,director marketing client relations,PT
medsurg rn,medical surgical nurse,PT
pp registered nurse,postpartum nurse,PT
women's health care np,women's health nurse practitioner,PT
hot dog vender,food vendor,PT
supervsore,supervisor,PT
suprvissor,supervisor,PT
cecrtari,secretary,PT
secaratery,secretary,PT
secartery,secretary,PT
sesartary,secretary,PT
superintendetnt,superintendent,PT
teaching,teaching specialist,PT
mamarketer,marketer,PT
physicianj,medical doctor,PT
physiscion,medical doctor,PT
sub contractro,subcontractor,PT
benefits director,director of benefits,PT
telseles,telesales specialist,PT
aided computer design operator,computer aided design operator,PT
govt. job,civil servant,PT
manager national service,national service manager,PT
"manager, logistics project",logistics project manager,PT
travel nurse recruiter,healthcare recruiter,PT
coordinator post production,post production coordinator,PT
analyst data system,data system analyst,PT
global hr manager,global human resources manager,PT
mines managertr,mining manager,PT
"manager, information technology product",information technology product manager,PT
assistant director finance to,assistant to finance director,PT
application manager web,web application manager,PT
mathmatics,mathematics specialist,PT
ip associate,intellectual property associate,PT
sicologist,sociologist,PT
director event management,director of event management,PT
"manager, membership services",membership services manager,PT
engineer senior voice,senior voice engineer,PT
assurance manager quality system,quality assurance system manager,PT
director relations university,director of university relations,PT
aided computer design supervisor,computer aided design supervisor,PT
"manager, product quality assurance",product quality assurance manager,PT
information infrastructure president technology vice,vice president information technology infrastructure,PT
management officer treasury,treasury management officer,PT
clinical representative sales,clinical sales representative,PT
co host morning show,morning show co host,PT
"manager, data integration",data integration manager,PT
"manager, loyalty program",loyalty program manager,PT
spine,spine specialist,PT
administration finance general manager,general manager finance administration,PT
account executive freelance,freelance account executive,PT
pediatric intensive care bsn,pediatric intensive care nurse,PT
manager of ai,manager of artificial intelligence,PT
water operator,water treatment operator,PT
ip engineering,internet protocol engineer,PT
thesis,student,PT
secrectry,secretary,PT
magnagement,management,PT
data anaysist,data analyst,PT
superintendand,superintendent,PT
superintenndent,superintendent,PT
surpentendent,superintendent,PT
"vice president, services",vice president of services,PT
techimg,teaching specialist,PT
environmental health & safety manager,"environment, health and safety manager",PT
